id,city,city_ascii,state_id,state_name,county_name,lat,lng,zip_codes
1840034016,New York,New York,NY,New York,Queens,40.6943,-73.9249,"{11229,11228,11226,11225,11224,11222,11221,11220,11385,10169,10168,10167,10165,10162,10282,10280,10040,10044,11109,11102,11103,11106,11104,11697,11694,11692,11693,11691,10271,10279,10278,10075,11249,10452,11451,10475,10474,10471,10470,10473,10472,11223,10103,11368,11369,11366,11367,11364,11365,11362,11363,11360,11361,10028,10029,10026,10027,10024,10025,10022,10023,10020,10021,11212,11213,11210,11211,11216,11217,11214,11215,11218,11219,10152,10153,10154,10310,10311,10312,10314,11439,11432,11433,11430,11436,11434,11435,10453,10451,10457,10456,10455,10454,10459,10458,10128,10004,10005,10006,10007,10001,10002,10003,10009,11238,11239,11230,11231,11232,11233,11234,11235,11236,11237,11379,11378,11375,11374,11377,11371,11370,11373,11372,10170,10171,10172,10173,10174,10177,11356,10039,10038,10035,10034,10037,10036,10031,10030,10033,10032,11201,11209,11203,11205,11204,11207,11206,11208,11411,11412,11413,11414,11415,11416,11417,11418,11419,11101,11105,11001,11005,11004,10065,10069,10199,10309,10308,10307,10306,10305,10304,10303,10302,10301,11429,11428,11421,11420,11423,11422,11424,11427,11426,10466,10467,10464,10465,10462,10463,10460,10461,10468,10469,10119,10115,10112,10110,10111,11359,11358,11357,11355,11354,10019,10018,10013,10012,10011,10010,10017,10016,10014,10008,10041,10043,10055,10060,10081,10087,10090,10101,10102,10104,10105,10106,10107,10108,10109,10113,10114,10116,10117,10118,10120,10121,10122,10123,10124,10125,10126,10129,10130,10131,10132,10133,10138,10150,10151,10155,10156,10157,10158,10159,10160,10163,10164,10166,10175,10176,10178,10179,10185,10203,10211,10212,10213,10242,10249,10256,10258,10259,10260,10261,10265,10268,10269,10270,10272,10273,10274,10275,10276,10277,10281,10285,10286,10313,11120,11202,11241,11242,11243,11245,11247,11251,11252,11256,11351,11352,11380,11386,11405,11425,11431,11437,11499,11690,11695}"
1840020491,Los Angeles,Los Angeles,CA,California,Los Angeles,34.1141,-118.4068,"{91367,90291,90293,90292,91316,91311,90035,90034,90037,90031,90039,90008,90004,90005,90006,90007,90001,90002,90003,91504,91040,90710,90089,91307,91344,91345,91340,91342,91343,90036,90247,91411,91436,91371,91608,91605,91604,91607,91606,91601,91602,90402,90068,90069,90062,90063,90061,90066,90067,90064,90065,90248,91326,91324,91325,90013,90012,90011,90010,90017,90016,90015,90014,91364,90028,90095,90094,91042,91352,91356,91406,91402,90041,90042,90043,90044,90045,90046,90047,90048,90049,90019,90018,91423,90210,91303,91304,91306,90079,90071,90077,90059,91331,91330,91335,90026,90027,90024,90025,90023,90020,90021,90029,90272,90732,90731,90230,91405,91403,91401,90033,90032,90038,90057,90052,90058,90744,90501,90502,90009,90030,90050,90051,90053,90054,90055,90060,90070,90072,90074,90075,90076,90078,90080,90081,90082,90083,90084,90085,90086,90087,90088,90093,90099,90134,90140,90189,90213,90294,90295,90733,90734,90748,91041,91043,91305,91308,91309,91313,91327,91328,91333,91334,91337,91346,91353,91357,91365,91392,91393,91394,91395,91396,91404,91407,91408,91409,91410,91412,91413,91416,91426,91470,91482,91499,91603,91609,91610,91614,91615,91616,91617,91618}"
1840000494,Chicago,Chicago,IL,Illinois,Cook,41.8375,-87.6866,"{60018,60649,60641,60640,60643,60642,60645,60644,60647,60646,60616,60617,60614,60615,60612,60613,60610,60611,60618,60619,60631,60827,60661,60660,60638,60639,60634,60636,60637,60630,60632,60633,60605,60604,60607,60606,60601,60603,60602,60609,60608,60106,60659,60652,60653,60656,60657,60654,60655,60651,60623,60622,60621,60620,60626,60625,60624,60629,60628,60707,60499,60664,60666,60668,60669,60670,60673,60674,60675,60677,60678,60680,60681,60684,60685,60686,60687,60688,60689,60690,60694,60695,60696,60699}"
1840015149,Miami,Miami,FL,Florida,Miami-Dade,25.784,-80.2101,"{33128,33129,33125,33126,33127,33149,33144,33145,33142,33139,33138,33137,33136,33135,33134,33133,33132,33131,33130,33150,33101,33109,33192,33195,33222,33231,33233,33238,33255,33299}"
1840020925,Houston,Houston,TX,Texas,Harris,29.786,-95.3885,"{77069,77068,77061,77060,77063,77062,77065,77064,77067,77066,77346,77571,77036,77037,77034,77035,77032,77033,77030,77031,77038,77449,77093,77044,77043,77042,77204,77598,77018,77019,77015,77016,77017,77010,77011,77012,77013,77094,77091,77092,77053,77345,77547,77080,77025,77024,77027,77026,77021,77020,77023,77022,77029,77028,77096,77090,77098,77099,77078,77079,77072,77073,77070,77071,77076,77077,77074,77075,77407,77047,77046,77045,77041,77040,77048,77336,77339,77338,77489,77003,77002,77007,77006,77005,77004,77009,77008,77450,77086,77089,77088,77083,77082,77081,77087,77085,77084,77054,77055,77056,77057,77058,77059,77396,77051,77506,77504,77001,77052,77201,77202,77203,77205,77206,77207,77208,77210,77212,77213,77215,77216,77217,77218,77219,77220,77221,77222,77223,77225,77226,77227,77228,77229,77230,77231,77233,77234,77235,77236,77237,77241,77242,77243,77244,77245,77248,77249,77251,77252,77253,77254,77255,77256,77257,77259,77261,77262,77263,77266,77269,77270,77271,77272,77273,77274,77275,77282,77284,77287,77288,77289,77291,77292,77293,77297,77299,77315,77325,77411}"
1840019440,Dallas,Dallas,TX,Texas,Dallas,32.7935,-96.7667,"{75098,75287,75230,75231,75236,75237,75235,75254,75251,75252,75253,75043,75032,75227,75238,75232,75233,75234,75089,75088,75087,75247,75244,75249,75248,75051,75166,75210,75211,75212,75214,75215,75216,75217,75218,75219,75390,75182,75229,75228,75220,75223,75225,75224,75226,75243,75241,75240,75246,75270,75207,75206,75204,75203,75202,75201,75209,75208,75019,75221,75222,75242,75250,75260,75262,75263,75264,75266,75267,75277,75283,75284,75285,75301,75303,75312,75313,75315,75320,75336,75339,75342,75354,75355,75356,75357,75358,75359,75360,75367,75370,75371,75372,75373,75374,75376,75378,75379,75380,75382,75389,75392,75393,75394,75395,75397,75398}"
1840000673,Philadelphia,Philadelphia,PA,Pennsylvania,Philadelphia,40.0077,-75.1339,"{19154,19151,19150,19153,19152,19102,19103,19106,19107,19104,19108,19109,19128,19129,19120,19121,19122,19123,19124,19125,19126,19127,19112,19111,19115,19114,19116,19119,19118,19148,19149,19146,19147,19144,19145,19142,19143,19140,19141,19139,19138,19137,19136,19135,19134,19133,19132,19131,19130,19019,19092,19093,19101,19105,19110,19155,19160,19161,19162,19170,19171,19172,19173,19175,19176,19177,19178,19179,19181,19182,19183,19184,19185,19187,19188,19190,19191,19192,19193,19194,19195,19196,19197,19244,19255}"
1840013660,Atlanta,Atlanta,GA,Georgia,Fulton,33.7628,-84.422,"{30334,30331,30332,30309,30308,30354,30327,30322,30326,30324,30319,30342,30305,30307,30306,30316,30317,30314,30315,30312,30313,30310,30311,30303,30363,30318,30301,30302,30304,30321,30325,30333,30343,30348,30353,30355,30357,30361,30368,30369,30370,30371,30375,30377,30392,30394,30398,31106,31107,31126,31139,31141,31193}"
1840006060,Washington,Washington,DC,District of Columbia,District of Columbia,38.9047,-77.0163,"{20250,20010,20011,20012,20015,20520,20418,20415,20020,20024,20510,20515,20427,20422,20530,20542,20540,20240,20245,20204,20005,20004,20003,20002,20001,20009,20008,20317,20319,20390,20059,20057,20052,20388,20017,20018,20565,20566,20560,20591,20220,20064,20551,20230,20373,20260,20007,20006,20032,20036,20037,20431,20045,20408,20535,20016,20019,20013,20022,20026,20027,20029,20030,20033,20035,20038,20039,20040,20042,20043,20044,20047,20049,20050,20053,20055,20056,20058,20060,20061,20062,20063,20065,20066,20067,20068,20069,20070,20071,20073,20074,20075,20076,20077,20078,20080,20081,20082,20090,20091,20201,20202,20203,20206,20207,20208,20210,20211,20212,20213,20214,20215,20216,20217,20218,20219,20221,20222,20223,20224,20226,20227,20228,20229,20232,20233,20235,20237,20238,20239,20241,20242,20244,20251,20252,20254,20261,20262,20265,20266,20268,20270,20277,20289,20299,20301,20303,20306,20310,20314,20318,20330,20340,20350,20355,20370,20372,20374,20375,20376,20380,20389,20391,20392,20393,20394,20395,20398,20401,20402,20403,20404,20405,20406,20407,20410,20411,20412,20413,20414,20416,20417,20419,20420,20421,20423,20424,20425,20426,20428,20429,20433,20434,20435,20436,20437,20439,20440,20441,20442,20444,20447,20451,20453,20456,20460,20463,20468,20469,20470,20472,20500,20501,20502,20503,20504,20505,20506,20507,20508,20509,20511,20521,20522,20523,20524,20525,20526,20527,20528,20529,20531,20533,20534,20536,20537,20538,20539,20541,20543,20544,20546,20547,20548,20549,20552,20553,20554,20555,20557,20559,20570,20571,20572,20573,20575,20576,20577,20578,20579,20580,20581,20585,20586,20590,20593,20594,20597,20599,56901,56902,56904,56908,56915,56920,56933,56935,56944,56945,56950,56965,56967,56972,56998,56999}"
1840000455,Boston,Boston,MA,Massachusetts,Suffolk,42.3188,-71.0852,"{02120,02121,02122,02124,02125,02126,02127,02128,02129,02210,02215,02467,02119,02118,02111,02110,02113,02115,02114,02116,02199,02134,02136,02135,02133,02132,02131,02130,02203,02205,02163,02108,02109,02112,02117,02123,02137,02196,02201,02206,02211,02212,02217,02222,02241,02283,02284,02293,02297,02298}"
1840020568,Phoenix,Phoenix,AZ,Arizona,Maricopa,33.5722,-112.0892,"{85009,85003,85006,85007,85004,85083,85086,85087,85085,85331,85033,85306,85308,85020,85021,85022,85023,85024,85026,85027,85028,85029,85353,85019,85018,85013,85012,85015,85014,85016,85254,85008,85044,85045,85042,85043,85040,85041,85048,85037,85035,85034,85032,85031,85017,85304,85307,85266,85310,85054,85051,85050,85053,85001,85002,85005,85010,85011,85030,85036,85038,85046,85060,85061,85062,85063,85064,85066,85067,85068,85069,85070,85071,85072,85074,85076,85078,85079,85080,85082}"
1840003971,Detroit,Detroit,MI,Michigan,Wayne,42.3834,-83.1024,"{48209,48208,48202,48201,48207,48206,48205,48204,48227,48238,48239,48234,48235,48233,48203,48243,48228,48226,48214,48215,48216,48217,48210,48211,48212,48213,48219,48224,48221,48223,48231,48232,48244,48255,48260,48264,48266,48267,48268,48269,48272,48275,48277,48278,48279,48288}"
1840021117,Seattle,Seattle,WA,Washington,King,47.6211,-122.3244,"{98109,98108,98105,98104,98107,98106,98101,98103,98102,98154,98122,98121,98126,98125,98178,98174,98177,98144,98146,98195,98199,98118,98119,98116,98117,98115,98112,98164,98134,98136,98133,98111,98113,98114,98124,98127,98129,98139,98141,98145,98161,98165,98170,98175,98181,98185,98191,98194}"
1840021543,San Francisco,San Francisco,CA,California,San Francisco,37.7558,-122.4449,"{94130,94131,94132,94133,94134,94103,94102,94105,94104,94188,94158,94124,94123,94122,94121,94129,94118,94108,94107,94112,94110,94116,94117,94114,94115,94111,94109,94127,94119,94120,94125,94137,94139,94140,94141,94142,94143,94144,94145,94146,94147,94151,94159,94160,94161,94163,94164,94172,94177}"
1840021990,San Diego,San Diego,CA,California,San Diego,32.8313,-117.1222,"{92182,92109,92108,92107,92106,92103,92101,92111,92154,92110,92140,92161,92105,92104,92102,92071,92132,92130,92131,92136,92134,92139,92025,92027,92147,92145,92014,92093,92092,92119,92116,92117,92121,92120,92123,92122,92124,92127,92126,92129,92128,92037,92173,92113,92114,92115,92038,92039,92072,92112,92137,92138,92142,92143,92149,92150,92152,92153,92158,92159,92160,92163,92165,92166,92167,92168,92169,92170,92171,92172,92174,92175,92176,92177,92186,92187,92191,92192,92193,92195,92196,92197,92198,92199}"
1840007830,Minneapolis,Minneapolis,MN,Minnesota,Hennepin,44.9635,-93.2678,"{55404,55409,55408,55407,55406,55405,55403,55402,55401,55454,55455,55430,55418,55419,55410,55411,55412,55413,55414,55415,55416,55417,55440,55458,55459,55467,55470,55474,55479,55480,55483,55484,55485,55486,55487,55488}"
1840015982,Tampa,Tampa,FL,Florida,Hillsborough,27.9945,-82.4447,"{33637,33629,33621,33620,33609,33604,33606,33602,33619,33616,33613,33617,33614,33610,33611,33612,33605,33607,33603,33647,33608,33622,33623,33630,33631,33633,33646,33650,33655,33664,33672,33673,33674,33677,33679,33681,33684,33686,33689}"
1840034030,Brooklyn,Brooklyn,NY,New York,Kings,40.6501,-73.9496,"{11229,11226,11225,11224,11223,11221,11220,11249,11228,11222,11212,11213,11210,11211,11216,11217,11214,11215,11218,11219,11238,11239,11230,11231,11232,11233,11234,11235,11236,11237,11208,11201,11203,11205,11204,11207,11206,11209,11202,11241,11242,11243,11245,11247,11251,11252,11256}"
1840018789,Denver,Denver,CO,Colorado,Denver,39.762,-104.8758,"{80264,80266,80230,80231,80236,80237,80235,80238,80239,80123,80249,80247,80246,80290,80293,80294,80218,80210,80212,80216,80221,80220,80223,80222,80224,80227,80219,80211,80209,80207,80206,80205,80204,80202,80203,80208,80217,80243,80248,80250,80256,80257,80259,80261,80265,80271,80273,80274,80281,80291,80299}"
1840034002,Queens,Queens,NY,New York,Queens,40.7498,-73.7976,"{11385,11109,11102,11103,11106,11104,11379,11378,11377,11697,11694,11692,11693,11691,11451,11368,11369,11366,11367,11364,11365,11362,11363,11360,11361,11429,11439,11432,11433,11430,11436,11434,11435,11375,11374,11371,11370,11373,11372,11411,11412,11413,11414,11415,11416,11417,11418,11419,11101,11105,11001,11005,11004,11428,11421,11420,11423,11422,11424,11427,11426,11359,11358,11357,11356,11355,11354,11120,11351,11352,11380,11386,11405,11425,11431,11437,11499,11690,11695}"
1840020551,Riverside,Riverside,CA,California,Riverside,33.9381,-117.3949,"{92508,92503,92501,92506,92505,92504,92507,92521,92502,92513,92514,92516,92517,92522}"
1840020364,Las Vegas,Las Vegas,NV,Nevada,Clark,36.2333,-115.2654,"{89146,89149,89107,89106,89104,89102,89101,89108,89138,89130,89131,89134,89143,89145,89144,89110,89117,89129,89128,89124,89105,89114,89116,89125,89126,89127,89133,89137,89140,89151,89152,89153,89155,89163,89195}"
1840001592,Baltimore,Baltimore,MD,Maryland,Baltimore,39.3051,-76.6144,"{21218,21211,21210,21213,21212,21215,21214,21217,21216,21233,21231,21230,21239,21251,21209,21202,21206,21207,21205,21287,21223,21226,21201,21224,21225,21229,21203,21263,21264,21270,21273,21275,21278,21279,21281,21290,21297,21298}"
1840001651,St. Louis,St. Louis,MO,Missouri,St. Louis,38.6359,-90.2451,"{63110,63111,63112,63113,63115,63116,63118,63120,63107,63106,63104,63103,63102,63101,63109,63108,63155,63139,63137,63143,63147,63150,63156,63157,63158,63160,63163,63164,63166,63169,63177,63178,63179,63180,63188,63197}"
1840019941,Portland,Portland,OR,Oregon,Multnomah,45.5371,-122.65,"{97227,97221,97220,97229,97203,97202,97201,97206,97205,97204,97209,97208,97258,97266,97219,97213,97236,97232,97233,97230,97239,97218,97214,97215,97216,97217,97210,97211,97212,97207,97228,97238,97240,97242,97250,97251,97252,97253,97254,97256,97280,97282,97283,97286,97290,97291,97292,97293,97294}"
1840022220,San Antonio,San Antonio,TX,Texas,Bexar,29.4632,-98.5238,"{78112,78239,78259,78258,78252,78251,78250,78257,78256,78255,78254,78208,78201,78202,78203,78204,78205,78207,78245,78242,78248,78231,78230,78233,78232,78235,78234,78237,78238,78209,78109,78266,78264,78260,78219,78218,78217,78216,78215,78214,78213,78212,78211,78210,78244,78247,78240,78249,78073,78023,78222,78223,78220,78221,78226,78227,78224,78225,78228,78229,78206,78241,78246,78265,78268,78269,78270,78278,78279,78280,78283,78284,78285,78288,78289,78291,78292,78293,78294,78295,78296,78297,78298,78299}"
1840021491,Sacramento,Sacramento,CA,California,Sacramento,38.5677,-121.4685,"{95821,95820,95823,95838,95832,95833,95831,95834,95835,95811,95814,95815,95818,95819,95828,95822,95825,95824,95826,95816,95817,94203,94204,94205,94209,94229,94230,94232,94235,94236,94237,94239,94240,94244,94247,94248,94249,94250,94252,94254,94256,94257,94258,94259,94261,94262,94263,94267,94268,94269,94271,94273,94274,94277,94278,94279,94280,94283,94284,94285,94287,94288,94289,94290,94293,94294,94295,94296,94297,94298,94299,95812,95813,95840,95851,95852,95853,95867,95894}"
1840019590,Austin,Austin,TX,Texas,Travis,30.3005,-97.7522,"{78749,78748,78741,78742,78745,78744,78747,78746,78717,78712,78719,78617,78739,78735,78736,78730,78731,78732,78733,78705,78704,78701,78703,78702,78758,78759,78752,78753,78750,78751,78756,78757,78754,78652,78723,78722,78721,78727,78726,78725,78724,78729,78728,73301,73344,78651,78708,78709,78710,78711,78713,78714,78715,78718,78720,78755,78760,78761,78762,78763,78765,78766,78767,78768,78772,78773,78774,78778,78779,78783,78799}"
1840015099,Orlando,Orlando,FL,Florida,Orange,28.4773,-81.337,"{32829,32827,32824,32822,32804,32805,32806,32807,32801,32803,32808,32839,32835,32832,32819,32811,32812,32814,32802,32853,32854,32856,32861,32862,32872,32877,32885,32886,32891,32897}"
1630035577,San Juan,San Juan,PR,Puerto Rico,San Juan,18.3985,-66.061,"{00918,00913,00912,00911,00917,00915,00926,00927,00924,00925,00923,00920,00921,00906,00907,00901,00909,00969,00908,00910,00919,00922,00928,00929,00931,00935,00936,00937,00939,00940,00955,00975}"
1840021570,San Jose,San Jose,CA,California,Santa Clara,37.3012,-121.848,"{95119,95118,95128,95124,95125,95122,95008,95002,95117,95116,95111,95110,95113,95112,95126,95127,95120,95123,95148,95133,95132,95131,95130,95136,95134,95139,95138,95037,95013,95129,95121,95101,95103,95106,95109,95115,95141,95150,95151,95153,95154,95155,95156,95157,95158,95159,95160,95161,95164,95172,95173,95190,95191,95192,95193,95194,95196}"
1840030084,Indianapolis,Indianapolis,IN,Indiana,Marion,39.7771,-86.1458,"{46234,46237,46218,46219,46217,46214,46260,46268,46226,46225,46183,46231,46235,46236,46239,46254,46250,46208,46201,46203,46202,46205,46204,46206,46256,46259,46227,46224,46222,46221,46220,46229,46228,46113,46278,46241,46240,46207,46209,46230,46242,46244,46245,46247,46251,46253,46255,46262,46277,46282,46283,46285,46288,46298}"
1840001254,Pittsburgh,Pittsburgh,PA,Pennsylvania,Allegheny,40.4397,-79.9763,"{15282,15216,15217,15214,15212,15213,15210,15211,15218,15219,15290,15232,15260,15233,15205,15204,15207,15206,15201,15203,15208,15234,15222,15221,15220,15226,15224,15120,15230,15240,15250,15251,15252,15253,15254,15255,15257,15258,15259,15261,15262,15264,15265,15267,15270,15272,15274,15279,15281,15286,15289,15295}"
1840003814,Cincinnati,Cincinnati,OH,Ohio,Hamilton,39.1413,-84.506,"{45267,45219,45213,45212,45211,45217,45216,45214,45233,45226,45227,45225,45223,45229,45224,45232,45204,45205,45206,45207,45202,45203,45208,45209,45239,45238,45237,45220,45230,45201,45221,45250,45254,45262,45263,45264,45268,45269,45270,45271,45273,45274,45275,45296,45298,45299,45999}"
1840034000,Manhattan,Manhattan,NY,New York,New York,40.7834,-73.9662,"{10169,10168,10167,10165,10162,10282,10280,10040,10044,10271,10279,10278,10075,10103,10028,10029,10026,10027,10024,10025,10022,10023,10020,10021,10152,10153,10154,10128,10004,10005,10006,10007,10001,10002,10003,10009,10170,10171,10172,10173,10174,10177,10039,10038,10035,10034,10037,10036,10031,10030,10033,10032,10065,10069,10199,10119,10115,10112,10110,10111,10019,10018,10013,10012,10011,10010,10017,10016,10014,10008,10041,10043,10055,10060,10081,10087,10090,10101,10102,10104,10105,10106,10107,10108,10109,10113,10114,10116,10117,10118,10120,10121,10122,10123,10124,10125,10126,10129,10130,10131,10132,10133,10138,10150,10151,10155,10156,10157,10158,10159,10160,10163,10164,10166,10175,10176,10178,10179,10185,10203,10211,10212,10213,10242,10249,10256,10258,10259,10260,10261,10265,10268,10269,10270,10273,10274,10275,10276,10277,10281,10285,10286}"
1840008535,Kansas City,Kansas City,MO,Missouri,Jackson,39.1238,-94.5541,"{64161,64163,64164,64165,64167,64053,64118,64116,64151,64153,64155,64154,64157,64156,64158,64108,64109,64106,64102,64128,64129,64124,64125,64126,64127,64120,64123,64166,64119,64114,64117,64111,64110,64113,64112,64133,64146,64145,64149,64147,64105,64101,64139,64138,64132,64131,64130,64137,64136,64134,64121,64141,64148,64162,64170,64171,64179,64180,64184,64187,64188,64191,64195,64196,64197,64198,64199,64999}"
1840000596,Cleveland,Cleveland,OH,Ohio,Cuyahoga,41.4764,-81.6805,"{44135,44120,44119,44113,44112,44111,44110,44115,44114,44144,44128,44127,44104,44105,44106,44101,44102,44103,44108,44109,44181,44190,44191,44192,44193,44194,44195,44197,44198,44199}"
1840003760,Columbus,Columbus,OH,Ohio,Franklin,39.9862,-82.9855,"{43109,43026,43054,43220,43221,43222,43223,43224,43081,43228,43227,43213,43212,43215,43214,43217,43219,43218,43002,43004,43068,43085,43240,43229,43235,43232,43231,43230,43119,43110,43017,43016,43137,43211,43210,43202,43203,43201,43206,43207,43204,43205,43209,43236,43251,43260,43266,43268,43270,43271,43272,43279,43287,43291}"
1840033999,Bronx,Bronx,NY,New York,Bronx,40.8501,-73.8662,"{10452,10475,10474,10471,10470,10473,10472,10453,10451,10457,10456,10455,10454,10459,10458,11370,10466,10467,10464,10465,10462,10463,10460,10461,10468,10469}"
1840014557,Charlotte,Charlotte,NC,North Carolina,Mecklenburg,35.2083,-80.8303,"{28269,28262,28105,28280,28282,28209,28208,28205,28204,28207,28206,28203,28202,28223,28227,28226,28278,28270,28273,28274,28277,28134,28216,28217,28214,28215,28212,28213,28210,28211,28244,28126,28130,28201,28218,28219,28220,28221,28222,28224,28228,28229,28230,28231,28232,28233,28234,28235,28237,28241,28242,28243,28246,28247,28253,28254,28255,28256,28258,28260,28263,28265,28266,28271,28272,28275,28281,28284,28285,28287,28288,28289,28290,28296,28297,28299}"
1840003871,Virginia Beach,Virginia Beach,VA,Virginia,Virginia Beach,36.7335,-76.0435,"{23459,23451,23453,23452,23455,23457,23456,23454,23460,23461,23462,23464,23450,23458,23463,23465,23466,23467,23471,23479}"
1840015031,Jacksonville,Jacksonville,FL,Florida,Duval,30.3322,-81.6749,"{32224,32225,32226,32227,32220,32221,32222,32223,32228,32219,32218,32214,32217,32216,32211,32210,32212,32246,32244,32233,32234,32202,32250,32254,32257,32256,32208,32209,32206,32207,32204,32205,32203,32258,32277,32099,32201,32229,32231,32232,32235,32236,32238,32239,32241,32245,32247,32255}"
1840003046,Milwaukee,Milwaukee,WI,Wisconsin,Milwaukee,43.0642,-87.9675,"{53203,53202,53207,53206,53205,53204,53209,53208,53233,53218,53219,53214,53215,53216,53210,53211,53212,53213,53295,53225,53224,53221,53220,53223,53222,53228,53201,53237,53259,53263,53274,53278,53288,53290,53293}"
1840003289,Providence,Providence,RI,Rhode Island,Providence,41.823,-71.4187,"{02903,02906,02907,02908,02904,02905,02909,02912,02918,02901,02902,02940}"
1840036155,Nashville,Nashville,TN,Tennessee,Davidson,36.1715,-86.7842,"{37027,37138,37076,37072,37203,37206,37201,37080,37218,37219,37216,37217,37214,37215,37212,37213,37210,37211,37189,37232,37238,37209,37208,37205,37204,37207,37115,37013,37228,37221,37220,37143,37011,37116,37202,37222,37224,37227,37229,37230,37234,37235,37236,37240,37241,37242,37243,37244,37246,37250}"
1840021383,Salt Lake City,Salt Lake City,UT,Utah,Salt Lake,40.7776,-111.9311,"{84116,84115,84114,84113,84112,84111,84128,84150,84180,84108,84101,84102,84103,84104,84105,84106,84138,84110,84122,84132,84133,84134,84139,84143,84145,84147,84148,84151,84152,84158,84199}"
1840014497,Raleigh,Raleigh,NC,North Carolina,Wake,35.8324,-78.6429,"{27617,27616,27615,27614,27613,27612,27610,27609,27601,27603,27604,27605,27606,27608,27607,27697,27695,27602,27619,27620,27622,27624,27626,27627,27628,27634,27636,27640,27650,27656,27658,27661,27668,27675,27676,27690,27698}"
1840001698,Richmond,Richmond,VA,Virginia,Richmond,37.5295,-77.4756,"{23222,23223,23298,23284,23220,23221,23226,23227,23224,23225,23230,23235,23234,23219,23173,23218,23232,23249,23260,23261,23269,23274,23276,23278,23282,23285,23286,23289,23290,23291,23292,23295}"
1840015457,Memphis,Memphis,TN,Tennessee,Shelby,35.1087,-89.9663,"{38120,38127,38126,38107,38106,38105,38104,38103,38109,38108,38152,38132,38141,38112,38114,38111,38113,38115,38116,38117,38118,38119,38018,38016,38133,38131,38134,38128,38122,38125,37501,37544,38088,38101,38124,38130,38136,38137,38145,38148,38150,38151,38157,38159,38161,38163,38166,38168,38173,38174,38175,38177,38181,38182,38184,38186,38187,38188,38190,38193,38194,38197}"
1840020428,Oklahoma City,Oklahoma City,OK,Oklahoma,Oklahoma,35.4676,-97.5136,"{73099,73119,73118,73114,73117,73116,73111,73110,73112,73020,73012,73013,73142,73141,73145,73149,73169,73078,73108,73109,73106,73107,74857,73139,73132,73131,73135,73134,73008,73097,73084,73105,73162,73103,73054,73151,73150,73159,73064,73104,73102,73179,73173,73170,73049,73160,73165,73127,73120,73121,73122,73128,73129,73101,73113,73124,73125,73126,73136,73137,73143,73144,73146,73147,73148,73152,73154,73155,73157,73163,73164,73167,73172,73175,73178,73184,73189,73190,73194,73195}"
1840004773,Hartford,Hartford,CT,Connecticut,Capitol,41.7661,-72.6834,"{06106,06105,06103,06120,06112,06114,06101,06102,06104,06115,06123,06126,06127,06132,06133,06134,06140,06141,06142,06143,06144,06145,06146,06147,06150,06151,06152,06154,06160,06167,06176,06183}"
1840030815,Louisville,Louisville,KY,Kentucky,Jefferson,38.1663,-85.6485,"{40245,40242,40241,40218,40219,40214,40216,40211,40213,40059,40291,40299,40220,40223,40222,40229,40228,40023,40272,40207,40209,40258,40118,40018,40027,40225,40261,40268,40269,40281}"
1840000386,Buffalo,Buffalo,NY,New York,Erie,42.9018,-78.8487,"{14208,14209,14202,14203,14201,14206,14207,14204,14220,14222,14211,14210,14213,14212,14215,14214,14216,14205,14233,14240,14263,14264,14267,14269,14270,14272,14273,14276,14280}"
1840020696,Fort Worth,Fort Worth,TX,Texas,Tarrant,32.7817,-97.3474,"{76164,76040,76134,76135,76137,76131,76132,76133,76109,76108,76105,76104,76107,76106,76103,76102,76155,76053,76052,76123,76120,76244,76008,76179,76177,76036,76140,76262,76006,76118,76119,76116,76117,76114,76115,76112,76110,76111,76129,76127,76126,76101,76113,76121,76122,76124,76130,76147,76150,76161,76162,76163,76166,76190,76191,76193,76195,76196,76197,76198,76199}"
1840004836,Bridgeport,Bridgeport,CT,Connecticut,Greater Bridgeport,41.1918,-73.1954,"{06605,06604,06607,06606,06608,06610,06601,06602}"
1840001839,New Orleans,New Orleans,LA,Louisiana,Orleans,30.0687,-89.9288,"{70139,70130,70131,70148,70114,70115,70116,70117,70112,70113,70118,70119,70129,70128,70125,70124,70127,70126,70122,70163,70142,70145,70146,70150,70151,70152,70153,70154,70156,70157,70158,70159,70160,70161,70162,70164,70165,70166,70167,70170,70172,70174,70175,70176,70177,70178,70179,70181,70182,70184,70185,70186,70187,70189,70190,70195}"
1840022101,Tucson,Tucson,AZ,Arizona,Pima,32.1541,-110.8787,"{85705,85707,85706,85709,85710,85756,85723,85726,85724,85701,85708,85719,85748,85745,85747,85716,85714,85715,85712,85713,85711,85734,85730,85721,85702,85703,85717,85725,85731,85732,85738,85751,85754,85775}"
1840023252,El Paso,El Paso,TX,Texas,El Paso,31.8476,-106.43,"{79901,79902,79903,79904,79905,79906,79907,79930,79932,79935,79934,79936,79915,79912,79911,79835,79922,79920,79927,79924,79925,79910,79913,79914,79917,79923,79926,79931,79937,79940,79941,79942,79943,79944,79945,79946,79947,79948,79949,79950,79951,79952,79953,79954,79955,79958,79960,79961,79968,79976,79978,79980,79995,79996,79997,79998,79999,88540,88541,88542,88543,88544,88545,88546,88547,88548,88549,88550,88553,88554,88555,88556,88557,88558,88559,88560,88561,88562,88563,88565,88566,88567,88568,88569,88570,88571,88572,88573,88574,88575,88576,88577,88578,88579,88580,88581,88582,88583,88584,88585,88586,88588,88590,88595}"
